car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,log_price,price_per_km,engine_per_seat
Honda City,Honda,City,11,57000,Dealer,Petrol,Automatic,16.8,1497,118.0,5,352000,12.77138929548529,6.175438596491228,299.4
Maruti Wagon R,Maruti,Wagon R,6,27000,Dealer,Petrol,Automatic,21.5,1197,81.8,5,395000,12.886643575525625,14.62962962962963,239.4
Hyundai Verna,Hyundai,Verna,9,74100,Dealer,Petrol,Automatic,17.1,1591,121.4,5,450000,13.017005083966255,6.0728744939271255,318.2
Hyundai Verna,Hyundai,Verna,2,19608,Dealer,Petrol,Manual,17.0,1591,121.3,5,895000,13.704580114574805,45.644634842921256,318.2
Volkswagen Vento,Volkswagen,Vento,8,72600,Individual,Diesel,Manual,20.54,1598,103.6,5,305000,12.628070334272698,4.201101928374656,319.6
Maruti Baleno,Maruti,Baleno,3,15000,Dealer,Petrol,Automatic,21.4,1197,83.1,5,700000,13.45883704259595,46.666666666666664,239.4
Volkswagen Vento,Volkswagen,Vento,7,59484,Dealer,Petrol,Manual,15.04,1598,103.2,5,465000,13.049794835104816,7.817228162194876,319.6
Maruti Swift Dzire,Maruti,Swift Dzire,6,57429,Dealer,Petrol,Manual,19.1,1197,85.8,5,450000,13.017005083966255,7.8357624196834355,239.4
Hyundai Creta,Hyundai,Creta,4,110000,Individual,Diesel,Manual,19.67,1582,126.2,5,1050000,13.864301674514206,9.545454545454545,316.4
Hyundai Grand,Hyundai,Grand,2,11000,Dealer,Petrol,Manual,18.9,1197,81.86,5,490000,13.102162710901053,44.54545454545455,239.4
Maruti Ertiga,Maruti,Ertiga,8,90000,Individual,Diesel,Manual,20.77,1248,88.8,7,450000,13.017005083966255,5.0,178.28571428571428
Honda City,Honda,City,6,80484,Dealer,Petrol,Automatic,18.0,1497,117.3,5,650000,13.384729180332174,8.07613935689081,299.4
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,7,75000,Dealer,Diesel,Automatic,14.84,2143,170.0,5,1475000,14.204169225721929,19.666666666666668,428.6
Maruti Swift Dzire,Maruti,Swift Dzire,4,55000,Dealer,Petrol,Automatic,21.21,1197,81.8,5,590000,13.28787951079572,10.727272727272727,239.4
Hyundai Grand,Hyundai,Grand,5,54540,Dealer,Petrol,Manual,18.9,1197,82.0,5,425000,12.959846800844963,7.792445911257793,239.4
Ford Ecosport,Ford,Ecosport,6,80000,Individual,Diesel,Manual,22.77,1498,98.59,5,450000,13.017005083966255,5.625,299.6
Maruti Swift Dzire,Maruti,Swift Dzire,5,64000,Dealer,Petrol,Manual,22.0,1197,81.8,5,450000,13.017005083966255,7.03125,239.4
Ford Ecosport,Ford,Ecosport,8,47754,Dealer,Diesel,Manual,22.7,1498,89.84,5,480000,13.081543466215237,10.05151400929765,299.6
Maruti Wagon R,Maruti,Wagon R,7,86461,Dealer,Petrol,Manual,20.51,998,67.04,5,290000,12.577639650232573,3.3541134152970704,199.6
Renault KWID,Renault,KWID,3,40746,Dealer,Petrol,Manual,25.17,799,53.3,5,300000,12.611541086966115,7.362685907819173,159.8
Hyundai i20,Hyundai,i20,4,31000,Dealer,Petrol,Manual,18.6,1197,81.83,5,650000,13.384729180332174,20.967741935483872,239.4
Ford Figo,Ford,Figo,8,44000,Dealer,Diesel,Manual,20.0,1399,68.1,5,235000,12.367345048436391,5.340909090909091,279.8
Hyundai Venue,Hyundai,Venue,2,21000,Dealer,Diesel,Manual,23.7,1493,98.6,5,900000,13.710151153416941,42.857142857142854,298.6
Maruti Baleno,Maruti,Baleno,3,23000,Dealer,Petrol,Manual,21.01,1197,81.8,5,600000,13.304686600863562,26.08695652173913,239.4
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9,63000,Dealer,Petrol,Automatic,11.74,1796,186.0,5,1275000,14.058457520888082,20.238095238095237,359.2
Hyundai Venue,Hyundai,Venue,2,17000,Dealer,Petrol,Manual,18.27,998,118.35,5,875000,13.681980308196241,51.470588235294116,199.6
Honda City,Honda,City,9,100000,Individual,Petrol,Manual,16.8,1497,116.4,5,350000,12.765691290604371,3.5,299.4
Maruti Swift,Maruti,Swift,3,35759,Dealer,Petrol,Automatic,22.0,1197,81.8,5,595000,13.296318365198623,16.639167761962025,239.4
Maruti Ignis,Maruti,Ignis,4,30000,Dealer,Petrol,Manual,20.89,1197,81.8,5,465000,13.049794835104816,15.5,239.4
Honda City,Honda,City,4,50000,Dealer,Petrol,Manual,17.4,1497,117.6,5,765000,13.547632419997361,15.3,299.4
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,7,60004,Dealer,Diesel,Automatic,19.27,2143,170.0,5,1349000,14.114874876479462,22.48183454436371,428.6
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,10,83000,Dealer,Petrol,Automatic,12.0,1991,184.0,5,1070000,13.883170141017091,12.891566265060241,398.2
Ford Ecosport,Ford,Ecosport,3,19000,Dealer,Diesel,Manual,23.0,1498,98.96,5,950000,13.76421831620775,50.0,299.6
Mahindra KUV100,Mahindra,KUV100,3,30300,Dealer,Petrol,Manual,18.15,1198,82.0,6,410000,12.923914877701906,13.531353135313532,199.66666666666666
Honda WR-V,Honda,WR-V,3,10000,Dealer,Petrol,Manual,17.5,1199,88.7,5,849000,13.651815643149092,84.9,239.8
Maruti Swift,Maruti,Swift,7,42000,Dealer,Diesel,Manual,25.2,1248,74.0,5,365000,12.807655372286902,8.69047619047619,249.6
Ford Ecosport,Ford,Ecosport,7,62091,Dealer,Diesel,Manual,22.7,1498,89.84,5,465000,13.049794835104816,7.489008068802242,299.6
Maruti Ciaz,Maruti,Ciaz,6,90000,Individual,Diesel,Manual,26.21,1248,88.5,5,500000,13.122365377402328,5.555555555555555,249.6
Hyundai i10,Hyundai,i10,9,47000,Dealer,Petrol,Automatic,16.95,1197,78.9,5,300000,12.611541086966115,6.382978723404255,239.4
Maruti Baleno,Maruti,Baleno,4,36000,Dealer,Petrol,Automatic,21.4,1197,83.1,5,600000,13.304686600863562,16.666666666666668,239.4
Hyundai Creta,Hyundai,Creta,5,40000,Individual,Diesel,Manual,21.38,1396,88.7,5,775000,13.560619598657233,19.375,279.2
Renault Duster,Renault,Duster,6,56000,Dealer,Diesel,Manual,20.46,1461,83.8,5,440000,12.994532278619134,7.857142857142857,292.2
Honda City,Honda,City,5,25000,Dealer,Petrol,Automatic,18.0,1497,117.3,5,870000,13.676249640055394,34.8,299.4
Maruti Dzire VXI,Maruti,Dzire VXI,6,54500,Dealer,Petrol,Manual,23.26,1197,88.5,5,452000,13.021439671201302,8.293577981651376,239.4
Maruti Swift,Maruti,Swift,3,20002,Trustmark Dealer,Petrol,Manual,22.0,1197,81.8,5,575000,13.26212705890841,28.747125287471253,239.4
Honda Amaze,Honda,Amaze,2,11000,Dealer,Diesel,Automatic,23.8,1498,78.9,5,900000,13.710151153416941,81.81818181818181,299.6
Maruti Alto,Maruti,Alto,8,13910,Dealer,Petrol,Manual,20.92,998,67.1,5,230000,12.345838935721968,16.534867002156723,199.6
Maruti Wagon R,Maruti,Wagon R,6,79855,Dealer,Petrol,Manual,20.51,998,67.04,5,347000,12.757082940769225,4.345375993989105,199.6
Tata Nexon,Tata,Nexon,3,9000,Dealer,Petrol,Automatic,17.0,1198,108.5,5,895000,13.704580114574805,99.44444444444444,239.6
Ford Ecosport,Ford,Ecosport,4,15800,Individual,Petrol,Manual,17.0,1497,121.31,5,785000,13.573440270649085,49.68354430379747,299.4
Maruti Alto,Maruti,Alto,10,22500,Dealer,Petrol,Manual,19.7,796,46.3,5,120000,11.695255355062795,5.333333333333333,159.2
Hyundai Creta,Hyundai,Creta,5,63000,Dealer,Diesel,Manual,21.38,1396,88.7,5,750000,13.527829818844937,11.904761904761905,279.2
Maruti Alto,Maruti,Alto,15,20000,Individual,Petrol,Manual,19.7,796,46.3,5,85000,11.350418300109132,4.25,159.2
Maruti Swift,Maruti,Swift,3,16000,Dealer,Petrol,Manual,22.0,1197,81.8,5,525000,13.171155446333852,32.8125,239.4
Skoda Rapid,Skoda,Rapid,6,32000,Individual,Diesel,Manual,21.14,1498,103.52,5,450000,13.017005083966255,14.0625,299.6
Maruti Ciaz,Maruti,Ciaz,4,64000,Dealer,Diesel,Manual,28.09,1248,88.5,5,710000,13.47302165746721,11.09375,249.6
Honda Amaze,Honda,Amaze,6,40000,Dealer,Petrol,Manual,18.0,1198,86.7,5,425000,12.959846800844963,10.625,239.6
Kia Seltos,Kia,Seltos,1,8000,Dealer,Diesel,Manual,20.8,1493,113.4,5,1450000,14.187074804051692,181.25,298.6
Maruti Swift,Maruti,Swift,8,58000,Dealer,Diesel,Manual,22.9,1248,74.0,5,360000,12.793862088206213,6.206896551724138,249.6
Maruti Swift Dzire,Maruti,Swift Dzire,7,38000,Dealer,Petrol,Manual,17.5,1298,85.8,5,435000,12.983103608918753,11.447368421052632,259.6
Maruti Swift,Maruti,Swift,6,50168,Dealer,Diesel,Manual,25.2,1248,74.0,5,450000,13.017005083966255,8.96986126614575,249.6
Renault Duster,Renault,Duster,8,66733,Dealer,Diesel,Manual,19.01,1461,108.45,5,409000,12.921472880009725,6.128901742765948,292.2
Hyundai Grand,Hyundai,Grand,5,6600,Dealer,Petrol,Manual,18.9,1197,82.0,5,440000,12.994532278619134,66.66666666666667,239.4
Hyundai Verna,Hyundai,Verna,4,28000,Dealer,Diesel,Manual,23.9,1582,126.2,5,825000,13.623139877437296,29.464285714285715,316.4
Mahindra XUV500,Mahindra,XUV500,7,58232,Dealer,Diesel,Manual,15.1,2179,140.0,7,625000,13.345508528717259,10.732930347575216,311.2857142857143
Maruti Celerio,Maruti,Celerio,3,15161,Trustmark Dealer,Petrol,Manual,21.63,998,67.04,5,485000,13.091906231773164,31.98997427610316,199.6
Hyundai Grand,Hyundai,Grand,7,56000,Dealer,Diesel,Manual,24.0,1120,70.0,5,325000,12.691583538230217,5.803571428571429,224.0
Maruti Eeco,Maruti,Eeco,5,29000,Dealer,CNG,Manual,15.1,1196,73.0,5,295000,12.59473402514672,10.172413793103448,239.2
Maruti Swift,Maruti,Swift,8,73536,Dealer,Diesel,Manual,22.9,1248,74.0,5,353000,12.77422616877261,4.800369886858138,249.6
Ford Ecosport,Ford,Ecosport,8,47000,Dealer,Diesel,Manual,22.7,1498,89.84,5,460000,13.038983942375959,9.787234042553191,299.6
Mahindra Scorpio,Mahindra,Scorpio,6,60000,Dealer,Diesel,Manual,15.4,2179,120.0,7,925000,13.73755009757506,15.416666666666666,311.2857142857143
Renault Duster,Renault,Duster,8,51235,Dealer,Diesel,Manual,19.01,1461,108.45,5,415000,12.936036208848487,8.099931687323119,292.2
Hyundai Grand,Hyundai,Grand,4,37500,Dealer,Petrol,Manual,25.0,1197,82.0,5,485000,13.091906231773164,12.933333333333334,239.4
Honda City,Honda,City,7,59000,Dealer,Diesel,Manual,25.1,1498,98.6,5,550000,13.217675375388819,9.322033898305085,299.6
Volkswagen Vento,Volkswagen,Vento,6,51000,Dealer,Diesel,Automatic,22.15,1498,108.6,5,585000,13.279368835614243,11.470588235294118,299.6
Volkswagen Polo,Volkswagen,Polo,6,75000,Dealer,Petrol,Automatic,17.21,1197,103.5,5,525000,13.171155446333852,7.0,239.4
Hyundai i20,Hyundai,i20,3,41000,Dealer,Petrol,Manual,18.6,1197,81.83,5,579000,13.269059483669357,14.121951219512194,239.4
Hyundai Santro,Hyundai,Santro,9,40000,Dealer,Petrol,Manual,17.92,1086,62.1,5,250000,12.429220196836383,6.25,217.2
Honda City,Honda,City,1,4600,Dealer,Petrol,Manual,17.8,1498,119.35,5,1175000,13.976779556623864,255.43478260869566,299.6
Skoda Superb,Skoda,Superb,11,42000,Dealer,Petrol,Manual,13.1,1798,157.8,5,400000,12.899222326086994,9.523809523809524,359.6
Maruti Ertiga,Maruti,Ertiga,8,68000,Dealer,Petrol,Manual,16.02,1373,93.7,7,495000,13.112315061750808,7.279411764705882,196.14285714285714
Honda Civic,Honda,Civic,12,62380,Dealer,Petrol,Manual,13.5,1799,130.0,5,245000,12.409017571151187,3.9275408784866945,359.8
Hyundai Grand,Hyundai,Grand,7,25000,Dealer,Petrol,Manual,18.9,1197,82.0,5,500000,13.122365377402328,20.0,239.4
Maruti Swift,Maruti,Swift,15,84800,Dealer,Petrol,Manual,16.1,1197,85.0,5,185000,12.128116509451258,2.181603773584906,239.4
Mahindra Scorpio,Mahindra,Scorpio,5,30000,Dealer,Diesel,Manual,15.4,2179,120.0,7,1000000,13.815511557963774,33.333333333333336,311.2857142857143
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,8,38000,Dealer,Diesel,Automatic,14.84,2143,170.0,5,1200000,13.997832948091215,31.57894736842105,428.6
Renault Duster,Renault,Duster,5,64000,Dealer,Diesel,Manual,19.87,1461,83.8,5,680000,13.429849547739444,10.625,292.2
Jeep Compass,Jeep,Compass,2,28000,Dealer,Petrol,Manual,16.0,1368,160.0,5,1450000,14.187074804051692,51.785714285714285,273.6
Honda Amaze,Honda,Amaze,4,32000,Dealer,Petrol,Manual,17.8,1198,86.7,5,495000,13.112315061750808,15.46875,239.6
Volkswagen Polo,Volkswagen,Polo,4,35000,Dealer,Petrol,Automatic,17.21,1197,103.6,5,735000,13.507627138738266,21.0,239.4
Honda Amaze,Honda,Amaze,6,42000,Individual,Petrol,Manual,18.0,1198,86.7,5,390000,12.873904582205107,9.285714285714286,239.6
Maruti Baleno,Maruti,Baleno,4,70000,Individual,Petrol,Manual,21.4,1197,83.1,5,500000,13.122365377402328,7.142857142857143,239.4
Ford Ecosport,Ford,Ecosport,7,81360,Dealer,Diesel,Manual,22.7,1498,89.84,5,451000,13.019224835777257,5.5432645034414945,299.6
Honda WR-V,Honda,WR-V,3,33000,Dealer,Diesel,Manual,25.5,1498,98.6,5,840000,13.641158361294979,25.454545454545453,299.6
Maruti Dzire VXI,Maruti,Dzire VXI,3,28000,Dealer,Petrol,Manual,23.26,1197,88.5,5,625000,13.345508528717259,22.321428571428573,239.4
Maruti Swift Dzire,Maruti,Swift Dzire,10,62000,Dealer,Petrol,Manual,17.5,1298,85.8,5,250000,12.429220196836383,4.032258064516129,259.6
Hyundai i20,Hyundai,i20,9,42000,Dealer,Diesel,Manual,21.9,1396,90.0,5,275000,12.524530013005734,6.5476190476190474,279.2
Maruti Wagon R,Maruti,Wagon R,4,33200,Dealer,CNG,Manual,26.2,998,58.2,5,350000,12.765691290604371,10.542168674698795,199.6
Maruti Baleno,Maruti,Baleno,6,30000,Dealer,Petrol,Manual,21.4,1197,83.1,5,520000,13.161586013632684,17.333333333333332,239.4
Maruti Vitara,Maruti,Vitara,3,52000,Dealer,Diesel,Manual,24.3,1248,88.5,5,745000,13.521140839642674,14.326923076923077,249.6
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9,66000,Dealer,Diesel,Manual,15.8,2148,170.0,5,899000,13.70903942580019,13.621212121212121,429.6
Maruti Vitara,Maruti,Vitara,4,68100,Dealer,Diesel,Manual,24.3,1248,88.5,5,675000,13.42246945133505,9.911894273127754,249.6
Maruti Swift Dzire,Maruti,Swift Dzire,10,62000,Dealer,Diesel,Manual,19.3,1248,73.9,5,265000,12.487488878546145,4.274193548387097,249.6
Maruti Baleno,Maruti,Baleno,5,47061,Dealer,Petrol,Automatic,21.4,1197,83.1,5,655000,13.39239204133378,13.9181062875842,239.4
Hyundai Santro,Hyundai,Santro,1,8268,Dealer,Petrol,Manual,20.3,1086,68.07,5,445000,13.005831808336863,53.82196419932269,217.2
Maruti Celerio,Maruti,Celerio,5,36000,Dealer,Petrol,Manual,23.1,998,67.04,5,375000,12.834683971615659,10.416666666666666,199.6
BMW 5,BMW,5,13,59869,Dealer,Petrol,Automatic,10.6,2996,258.0,5,550000,13.217675375388819,9.18672434816015,599.2
Renault KWID,Renault,KWID,4,43616,Dealer,Petrol,Manual,25.17,799,53.3,5,290000,12.577639650232573,6.648936170212766,159.8
BMW 3,BMW,3,9,75000,Dealer,Diesel,Automatic,18.88,1995,184.0,5,1290000,14.070153551531353,17.2,399.0
Hyundai Verna,Hyundai,Verna,6,43000,Dealer,Petrol,Manual,17.43,1396,105.5,5,580000,13.270785106659046,13.488372093023257,279.2
Maruti Baleno,Maruti,Baleno,5,92000,Dealer,Petrol,Manual,21.4,1197,83.1,5,570000,13.25339339419516,6.195652173913044,239.4
Honda Jazz,Honda,Jazz,3,45178,Dealer,Petrol,Manual,18.7,1199,88.7,5,650000,13.384729180332174,14.387533755367658,239.8
Hyundai Grand,Hyundai,Grand,5,54000,Dealer,Diesel,Manual,24.0,1120,70.0,5,465000,13.049794835104816,8.61111111111111,224.0
Honda City,Honda,City,9,47000,Dealer,Petrol,Manual,17.0,1497,118.0,5,425000,12.959846800844963,9.042553191489361,299.4
BMW X1,BMW,X1,9,60000,Dealer,Diesel,Automatic,17.05,1995,184.0,5,800000,13.592368256649284,13.333333333333334,399.0
Hyundai Creta,Hyundai,Creta,5,52000,Dealer,Petrol,Manual,13.0,1591,121.3,5,925000,13.73755009757506,17.78846153846154,318.2
Volkswagen Polo,Volkswagen,Polo,10,62000,Dealer,Petrol,Manual,16.47,1198,73.9,5,315000,12.660331092405906,5.080645161290323,239.6
Renault Duster,Renault,Duster,8,63000,Dealer,Diesel,Manual,20.45,1461,83.8,5,415000,12.936036208848487,6.587301587301587,292.2
Toyota Fortuner,Toyota,Fortuner,11,67000,Dealer,Diesel,Manual,11.5,2982,171.0,7,825000,13.623139877437296,12.313432835820896,426.0
Ford Ecosport,Ford,Ecosport,7,65554,Dealer,Diesel,Manual,22.7,1498,89.84,5,565000,13.244582780038517,8.618848582847729,299.6
Maruti Swift Dzire,Maruti,Swift Dzire,7,75854,Dealer,Diesel,Manual,23.4,1248,74.0,5,341000,12.739640688812674,4.495478155403802,249.6
Maruti Swift Dzire,Maruti,Swift Dzire,4,26000,Dealer,Petrol,Automatic,18.5,1197,83.14,5,645000,13.377007146164305,24.807692307692307,239.4
Hyundai i20,Hyundai,i20,6,52000,Dealer,Petrol,Manual,18.6,1197,81.83,5,486000,13.093965960493682,9.346153846153847,239.4
Honda Amaze,Honda,Amaze,2,35000,Individual,Petrol,Manual,19.5,1199,88.76,5,550000,13.217675375388819,15.714285714285714,239.8
Mahindra XUV500,Mahindra,XUV500,4,65000,Dealer,Diesel,Automatic,16.0,1997,140.0,7,1175000,13.976779556623864,18.076923076923077,285.2857142857143
Honda Amaze,Honda,Amaze,2,19000,Dealer,Petrol,Manual,17.8,1198,86.7,5,580000,13.270785106659046,30.526315789473685,239.6
Maruti Swift,Maruti,Swift,7,70000,Individual,Diesel,Manual,25.2,1248,74.0,5,365000,12.807655372286902,5.214285714285714,249.6
Hyundai i20,Hyundai,i20,5,29842,Dealer,Petrol,Manual,18.5,1197,82.9,5,499000,13.120363378739663,16.721399370015416,239.4
Maruti Vitara,Maruti,Vitara,3,35000,Dealer,Diesel,Automatic,24.3,1248,88.5,5,835000,13.635188201437066,23.857142857142858,249.6
Datsun redi-GO,Datsun,redi-GO,5,47000,Dealer,Petrol,Manual,20.71,799,53.64,5,299000,12.608202196848836,6.361702127659575,159.8
Hyundai Grand,Hyundai,Grand,6,147000,Individual,Diesel,Manual,24.0,1120,70.0,5,350000,12.765691290604371,2.380952380952381,224.0
Honda City,Honda,City,3,26000,Dealer,Petrol,Automatic,17.4,1497,117.6,5,1075000,13.887832149776026,41.34615384615385,299.4
Maruti Swift Dzire,Maruti,Swift Dzire,8,78000,Dealer,Diesel,Manual,23.4,1248,74.0,5,325000,12.691583538230217,4.166666666666667,249.6
Hyundai i20,Hyundai,i20,7,50000,Dealer,Diesel,Manual,21.9,1396,88.76,5,500000,13.122365377402328,10.0,279.2
Mahindra XUV500,Mahindra,XUV500,8,50000,Individual,Diesel,Manual,15.1,2179,140.0,7,600000,13.304686600863562,12.0,311.2857142857143
Maruti Wagon R,Maruti,Wagon R,11,60000,Individual,Petrol,Manual,18.9,1061,67.0,5,150000,11.918397239722838,2.5,212.2
Maruti Wagon R,Maruti,Wagon R,10,52000,Dealer,CNG,Manual,26.2,998,58.2,5,210000,12.25486757159303,4.038461538461538,199.6
Honda City,Honda,City,8,35000,Dealer,Petrol,Manual,17.0,1497,118.0,5,495000,13.112315061750808,14.142857142857142,299.4
Hyundai Verna,Hyundai,Verna,4,62000,Dealer,Diesel,Manual,23.9,1582,126.2,5,760000,13.541075028051122,12.258064516129032,316.4
Nissan Kicks,Nissan,Kicks,2,11687,Trustmark Dealer,Petrol,Manual,14.23,1498,104.55,5,880000,13.68767832281738,75.29733892359032,299.6
Hyundai i20,Hyundai,i20,7,70000,Dealer,Diesel,Manual,22.54,1396,88.76,5,340000,12.73670383776449,4.857142857142857,279.2
Hyundai Verna,Hyundai,Verna,3,43000,Dealer,Petrol,Manual,17.0,1591,121.3,5,940000,13.753636218075409,21.86046511627907,318.2
Renault KWID,Renault,KWID,3,33124,Dealer,Petrol,Manual,25.17,799,53.3,5,335000,12.721888795877375,10.113512860765608,159.8
Hyundai Creta,Hyundai,Creta,2,1470,Dealer,Petrol,Manual,15.8,1591,121.3,5,1290000,14.070153551531353,877.5510204081633,318.2
Maruti Swift,Maruti,Swift,7,73956,Dealer,Diesel,Manual,25.2,1248,74.0,5,378000,12.84265212010087,5.111147168586728,249.6
Maruti Wagon R,Maruti,Wagon R,7,64000,Dealer,Petrol,Manual,18.9,998,67.1,5,265000,12.487488878546145,4.140625,199.6
Maruti Alto,Maruti,Alto,6,15000,Dealer,Petrol,Manual,22.74,796,47.3,5,275000,12.524530013005734,18.333333333333332,159.2
Hyundai i10,Hyundai,i10,9,73500,Dealer,Petrol,Manual,19.81,1086,68.05,5,235000,12.367345048436391,3.197278911564626,217.2
Maruti Ciaz,Maruti,Ciaz,7,49000,Dealer,Petrol,Manual,20.73,1373,91.2,5,626000,13.347107247525049,12.775510204081632,274.6
Maruti Ignis,Maruti,Ignis,4,32000,Dealer,Petrol,Manual,20.89,1197,81.8,5,465000,13.049794835104816,14.53125,239.4
Honda City,Honda,City,4,35000,Dealer,Petrol,Manual,17.8,1497,117.3,5,725000,13.493928313146206,20.714285714285715,299.4
Hyundai i20,Hyundai,i20,8,80849,Dealer,Diesel,Manual,22.54,1396,88.76,5,290000,12.577639650232573,3.586933666464644,279.2
Maruti Baleno,Maruti,Baleno,4,24000,Dealer,Petrol,Manual,21.01,1197,81.8,5,675000,13.42246945133505,28.125,239.4
Tata Tiago,Tata,Tiago,4,30000,Individual,Petrol,Automatic,23.84,1199,83.83,5,480000,13.081543466215237,16.0,239.8
Honda City,Honda,City,6,71678,Dealer,Diesel,Manual,25.1,1498,98.6,5,610000,13.321215875492413,8.510282094924523,299.6
Maruti Swift,Maruti,Swift,5,65000,Dealer,Petrol,Manual,18.6,1197,85.8,5,465000,13.049794835104816,7.153846153846154,239.4
Maruti Vitara,Maruti,Vitara,5,60000,Dealer,Diesel,Manual,24.3,1248,88.5,5,685000,13.437175577097312,11.416666666666666,249.6
Maruti Swift,Maruti,Swift,8,30500,Dealer,Petrol,Manual,22.0,1197,81.8,5,385000,12.861001210669146,12.62295081967213,239.4
Maruti Wagon R,Maruti,Wagon R,4,47000,Individual,Petrol,Automatic,20.51,998,67.0,5,390000,12.873904582205107,8.297872340425531,199.6
Volkswagen Vento,Volkswagen,Vento,7,76500,Individual,Diesel,Manual,20.34,1498,103.2,5,400000,12.899222326086994,5.228758169934641,299.6
Jeep Compass,Jeep,Compass,2,29000,Dealer,Petrol,Manual,16.0,1368,160.0,5,1430000,14.173185701536545,49.310344827586206,273.6
Ford Ecosport,Ford,Ecosport,5,37000,Dealer,Petrol,Manual,15.85,1499,110.4,5,675000,13.42246945133505,18.243243243243242,299.8
Honda City,Honda,City,4,56239,Trustmark Dealer,Petrol,Manual,17.8,1497,117.3,5,745000,13.521140839642674,13.247034975728587,299.4
Honda Amaze,Honda,Amaze,1,3000,Dealer,Petrol,Manual,19.5,1199,88.76,5,715000,13.480039220276565,238.33333333333334,239.8
Hyundai Creta,Hyundai,Creta,6,65000,Dealer,Diesel,Automatic,17.6,1582,126.2,5,835000,13.635188201437066,12.846153846153847,316.4
Ford Ecosport,Ford,Ecosport,2,16000,Dealer,Petrol,Manual,17.0,1497,121.31,5,925000,13.73755009757506,57.8125,299.4
Maruti Swift Dzire,Maruti,Swift Dzire,4,25000,Dealer,Diesel,Manual,28.4,1248,74.02,5,650000,13.384729180332174,26.0,249.6
Hyundai Creta,Hyundai,Creta,3,60000,Individual,Diesel,Manual,22.1,1396,88.7,5,875000,13.681980308196241,14.583333333333334,279.2
Maruti Ertiga,Maruti,Ertiga,4,44000,Dealer,Diesel,Manual,24.52,1248,88.5,7,725000,13.493928313146206,16.477272727272727,178.28571428571428
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9,67000,Dealer,Petrol,Automatic,11.74,1796,186.0,5,780000,13.567050480716235,11.64179104477612,359.2
Honda City,Honda,City,6,89000,Dealer,Diesel,Manual,26.0,1498,98.6,5,549000,13.215855541983634,6.168539325842697,299.6
Maruti Ciaz,Maruti,Ciaz,4,29000,Dealer,Petrol,Manual,20.73,1373,91.2,5,750000,13.527829818844937,25.862068965517242,274.6
Volkswagen Vento,Volkswagen,Vento,3,58000,Individual,Diesel,Automatic,21.5,1498,108.5,5,950000,13.76421831620775,16.379310344827587,299.6
Maruti Baleno,Maruti,Baleno,4,33528,Trustmark Dealer,Petrol,Manual,21.4,1197,83.1,5,540000,13.199326270390594,16.105941302791695,239.4
Maruti Swift,Maruti,Swift,4,43733,Dealer,Petrol,Manual,20.4,1197,81.8,5,489000,13.100119813444692,11.181487663777926,239.4
Maruti Baleno,Maruti,Baleno,2,10000,Dealer,Petrol,Automatic,19.56,1197,81.8,5,781000,13.568331709230735,78.1,239.4
Hyundai i20,Hyundai,i20,8,65001,Dealer,Diesel,Manual,21.9,1396,88.76,5,349000,12.762830066509972,5.369148166951278,279.2
Maruti Swift Dzire,Maruti,Swift Dzire,9,90000,Individual,Petrol,Manual,17.5,1298,85.8,5,350000,12.765691290604371,3.888888888888889,259.6
Honda City,Honda,City,2,12000,Dealer,Petrol,Automatic,17.4,1497,117.6,5,1350000,14.115615891155079,112.5,299.4
Honda City,Honda,City,4,53000,Dealer,Petrol,Manual,17.4,1497,117.6,5,880000,13.68767832281738,16.60377358490566,299.4
Honda Amaze,Honda,Amaze,4,51000,Individual,Petrol,Manual,17.8,1198,86.7,5,600000,13.304686600863562,11.764705882352942,239.6
Maruti Baleno,Maruti,Baleno,6,84999,Dealer,Diesel,Manual,27.39,1248,74.0,5,515000,13.151924121391561,6.058894810527183,249.6
Audi A4,Audi,A4,7,85000,Dealer,Diesel,Automatic,17.11,1968,174.33,5,1450000,14.187074804051692,17.058823529411764,393.6
Maruti Swift,Maruti,Swift,6,50000,Dealer,Petrol,Automatic,22.0,1197,81.8,5,450000,13.017005083966255,9.0,239.4
Honda City,Honda,City,6,63000,Dealer,Diesel,Manual,26.0,1498,98.6,5,575000,13.26212705890841,9.126984126984127,299.6
Hyundai Verna,Hyundai,Verna,9,30917,Dealer,Diesel,Manual,22.32,1582,126.3,5,465000,13.049794835104816,15.0402691076107,316.4
Maruti Baleno,Maruti,Baleno,5,27000,Dealer,Petrol,Manual,21.4,1197,83.1,5,585000,13.279368835614243,21.666666666666668,239.4
Maruti Swift,Maruti,Swift,11,68000,Dealer,Petrol,Manual,16.1,1197,85.0,5,240000,12.388398368982115,3.5294117647058822,239.4
Hyundai Verna,Hyundai,Verna,3,8143,Individual,Petrol,Manual,19.1,1368,98.6,5,930000,13.742940940397677,114.20852265749724,273.6
Hyundai Creta,Hyundai,Creta,5,58500,Dealer,Diesel,Manual,19.67,1582,126.2,5,770000,13.554147092530322,13.162393162393162,316.4
